date,plant_id,field_name,height_cm,growth_delta,temp_pf,humidity,co2,illuminance,solar_radiation,vapor_pressure_deficit,dew_point,solar_radiation_cumsum,growth_tomorrow,weekday,weeknum
2024-10-01,1,３号棟,53.0,19.0,24.93336805555556,79.24951388888888,441.13142361111113,13.06076388888889,765209,5.907621527777778,20.68157986111111,16.95912,-23.0,1,40
2024-10-01,2,３号棟,60.0,25.0,24.93336805555556,79.24951388888888,441.13142361111113,13.06076388888889,765209,5.907621527777778,20.68157986111111,16.95912,-28.0,1,40
2024-10-01,3,３号棟,60.0,25.0,24.93336805555556,79.24951388888888,441.13142361111113,13.06076388888889,765209,5.907621527777778,20.68157986111111,16.95912,-29.0,1,40
2024-10-08,1,３号棟,9.0,-6.0,19.80317708333333,88.69892361111111,425.9177083333333,2.7078125,167650,2.029045138888889,17.828072916666667,2.96796,36.0,1,41
2024-10-08,2,３号棟,9.0,-5.0,19.80317708333333,88.69892361111111,425.9177083333333,2.7078125,167650,2.029045138888889,17.828072916666667,2.96796,41.0,1,41
2024-10-08,3,３号棟,9.0,-4.0,19.80317708333333,88.69892361111111,425.9177083333333,2.7078125,167650,2.029045138888889,17.828072916666667,2.96796,39.0,1,41
2024-10-15,1,３号棟,10.0,-10.0,23.42546875,71.8463888888889,431.8720486111111,9.761111111111113,574386,6.270538194444445,17.89611111111111,11.36724,45.0,1,42
2024-10-15,2,３号棟,10.0,-11.0,23.42546875,71.8463888888889,431.8720486111111,9.761111111111113,574386,6.270538194444445,17.89611111111111,11.36724,48.0,1,42
2024-10-15,3,３号棟,10.0,-10.0,23.42546875,71.8463888888889,431.8720486111111,9.761111111111113,574386,6.270538194444445,17.89611111111111,11.36724,47.0,1,42
2024-10-22,1,３号棟,18.0,9.0,21.86015625,64.14534722222223,418.0484375,5.052777777777778,303132,6.972760416666667,14.666388888888887,5.63934,-4.0,1,43
2024-10-22,2,３号棟,18.0,9.0,21.86015625,64.14534722222223,418.0484375,5.052777777777778,303132,6.972760416666667,14.666388888888887,5.63934,-4.0,1,43
2024-10-22,3,３号棟,20.0,10.0,21.86015625,64.14534722222223,418.0484375,5.052777777777778,303132,6.972760416666667,14.666388888888887,5.63934,-5.0,1,43
2024-10-29,1,３号棟,28.0,0.0,17.415746527777777,85.67868055555556,431.2418402777778,3.7109375,225060,2.2536805555555555,14.890260416666663,4.01406,-9.0,1,44
2024-10-29,2,３号棟,29.0,-8.0,17.415746527777777,85.67868055555556,431.2418402777778,3.7109375,225060,2.2536805555555555,14.890260416666663,4.01406,-10.0,1,44
2024-10-29,3,３号棟,30.0,-7.0,17.415746527777777,85.67868055555556,431.2418402777778,3.7109375,225060,2.2536805555555555,14.890260416666663,4.01406,-10.0,1,44
2024-11-05,1,３号棟,32.0,-30.0,17.472465277777776,79.49232638888888,430.2602430555556,8.513541666666667,501133,3.5214236111111115,13.553715277777776,9.89826,-18.0,1,45
